"codeProbId";"participantId";"problemNum";"isTimed";"fwdSteps";"backSteps";"stepRevisits";"totalSteps";"totalExecutionVizSessions";"score"
1;3137;1;1;2;0;0;2;5;0
2;3137;2;1;3;4;0;7;4;1
3;3137;1;0;0;0;0;0;1;0
4;3137;2;0;0;0;0;0;1;1
5;3137;1;0;0;0;0;0;1;4
6;3137;2;0;9;7;7;16;2;4
7;3152;1;1;77;0;0;77;5;4
8;3152;2;1;0;0;0;0;0;0
9;3152;1;0;0;0;0;0;1;4
10;3152;2;0;5;0;0;5;5;4
11;3162;1;1;1;0;0;1;1;4
12;3162;2;1;2;0;0;2;2;2
13;3162;1;0;0;0;0;0;1;4
14;3162;2;0;0;0;0;0;1;2
15;3174;1;1;38;5;8;43;3;4
16;3174;2;1;36;0;0;36;3;1
17;3174;1;0;0;0;0;0;1;4
18;3174;2;0;70;2;4;72;6;4
19;3178;1;1;176;2;8;178;3;1
20;3178;2;1;61;0;0;61;3;0
21;3181;1;1;108;19;33;127;6;1
22;3178;1;0;0;0;0;0;0;0
23;3178;2;0;0;0;0;0;1;0
24;3183;1;1;14;0;0;14;3;0
25;3183;2;1;0;0;0;0;1;0
26;3193;1;1;4;2;3;6;1;0
27;3193;2;1;1;0;0;1;1;0
28;3222;1;1;51;14;15;65;3;4
29;3222;2;1;0;0;0;0;0;0
30;3222;1;0;0;0;0;0;1;4
31;3222;2;0;78;0;0;78;3;2
32;3239;1;1;29;0;0;29;5;1
33;3249;1;1;55;3;10;58;5;1
34;3249;2;1;2;0;0;2;1;0
35;3249;1;0;0;0;0;0;1;1
36;3249;2;0;1;0;0;1;3;2
37;3249;1;0;0;0;0;0;1;1
38;3249;2;0;1;0;0;1;3;2
39;3256;1;1;172;30;46;202;3;1
40;3256;2;1;13;0;0;13;1;0
41;3256;1;0;58;0;0;58;4;4
42;3256;2;0;3;0;0;3;3;4
43;3284;1;1;7;0;0;7;1;0
44;3290;1;1;54;13;14;67;4;1
45;3290;2;1;1;1;0;2;1;1
46;3290;1;0;0;0;0;0;0;0
47;3290;2;0;0;0;0;0;0;0
48;3295;1;1;0;0;0;0;2;0
49;3295;2;1;21;0;0;21;1;0
50;3295;1;0;0;0;0;0;0;0
51;3295;2;0;25;16;17;41;1;0
52;3321;1;1;3;0;0;3;3;1
53;3321;2;1;0;0;0;0;0;0
54;3326;1;1;40;0;0;40;3;1
55;3326;2;1;35;0;0;35;2;1
56;3326;1;0;0;0;0;0;1;0
57;3326;2;0;0;0;0;0;1;1
58;3338;1;1;85;17;17;102;4;4
59;3338;2;1;55;0;0;55;3;4
60;3338;1;0;0;0;0;0;1;4
61;3338;2;0;0;0;0;0;1;4
62;3363;1;1;0;0;0;0;0;0
63;3364;1;1;33;3;4;36;2;1
64;3364;2;1;3;0;0;3;4;0
65;3371;1;1;8;0;0;8;2;0
66;3371;2;1;46;0;0;46;5;0
67;3371;1;0;0;0;0;0;1;0
68;3371;2;0;0;0;0;0;1;0
69;3372;1;1;8;0;0;8;1;0
70;3392;1;1;156;0;0;156;5;4
71;3392;2;1;37;0;0;37;1;1
72;3321;1;0;27;3;2;30;3;4
73;3321;2;0;2;0;0;2;2;4
74;3398;1;1;145;17;19;162;7;2
75;3398;2;1;0;0;0;0;0;0
76;3398;1;0;0;0;0;0;1;2
77;3398;2;0;0;0;0;0;0;0
78;3418;1;1;59;10;14;69;7;1
79;3418;2;1;0;0;0;0;0;0
80;3419;1;1;61;36;63;97;2;1
81;3418;1;0;0;0;0;0;1;1
82;3418;2;0;0;0;0;0;0;0
83;3419;2;1;0;0;0;0;0;0
84;3419;1;0;0;0;0;0;0;0
85;3419;2;0;0;0;0;0;0;0
86;3423;1;1;6;0;0;6;1;0
87;3423;2;1;0;0;0;0;0;0
88;3429;1;1;19;4;5;23;2;1
89;3431;1;1;184;3;4;187;6;4
90;3429;2;1;20;0;0;20;1;0
91;3431;2;1;0;0;0;0;0;0
92;3431;1;0;0;0;0;0;1;4
93;3431;2;0;0;0;0;0;0;0
94;3441;1;1;2;1;0;3;2;1
95;3444;1;1;2;0;0;2;2;4
96;3444;2;1;2;0;0;2;2;1
97;3444;1;0;0;0;0;0;1;4
98;3444;2;0;0;0;0;0;0;0
99;3429;1;0;23;1;2;24;4;4
100;3429;2;0;0;0;0;0;0;0
101;3452;1;1;50;0;0;50;4;4
102;3452;2;1;21;0;0;21;3;0
103;3452;1;0;0;0;0;0;1;4
104;3452;2;0;10;0;0;10;1;1
105;3460;1;1;7;1;1;8;1;0
106;3460;2;1;21;0;0;21;1;0
107;3460;1;0;93;15;15;108;3;4
108;3460;2;0;91;2;2;93;8;4
109;3474;1;1;11;5;8;16;1;0
110;3474;2;1;21;0;0;21;1;0
111;3474;1;0;0;0;0;0;0;0
112;3474;2;0;0;0;0;0;1;0
113;3476;1;1;152;0;0;152;5;1
114;3476;2;1;4;0;0;4;2;1
115;3476;1;0;69;0;0;69;2;4
116;3476;2;0;0;0;0;0;0;0
117;3517;1;1;35;0;0;35;5;0
118;3520;1;1;104;5;3;109;5;4
119;3520;2;1;22;0;0;22;2;0
120;3520;1;0;0;0;0;0;1;4
121;3520;2;0;0;0;0;0;1;0
122;3544;1;1;11;0;0;11;2;0
123;3544;2;1;0;0;0;0;0;0
124;3519;1;1;22;2;4;24;3;1
125;3519;2;1;2;0;0;2;1;0
126;3555;1;1;7;6;3;13;6;2
127;3555;2;1;0;0;0;0;0;2
128;3555;1;0;0;0;0;0;0;0
129;3555;2;0;0;0;0;0;0;0
130;3583;1;1;0;0;0;0;0;1
131;3591;1;1;93;25;44;118;4;2
132;3591;2;1;0;0;0;0;0;1
133;3592;1;1;1;0;0;1;1;0
134;3593;1;1;51;1;1;52;3;1
135;3591;1;0;45;2;4;47;3;4
136;3591;2;0;2;0;0;2;2;2
137;3592;2;1;0;0;0;0;0;0
138;3596;1;1;0;0;0;0;0;0
139;3596;2;1;0;0;0;0;0;0
140;3593;2;1;0;0;0;0;0;0
141;3595;1;1;25;0;0;25;3;4
142;3595;2;1;0;0;0;0;0;0
143;3606;1;1;152;8;8;160;8;2
144;3593;1;0;284;2;24;286;12;4
145;3593;2;0;99;4;2;103;11;1
146;3606;2;1;31;0;0;31;4;1
147;3606;1;0;0;0;0;0;1;2
148;3606;2;0;0;0;0;0;1;1
149;3611;1;1;0;0;0;0;0;0
150;3611;2;1;26;1;2;27;3;0
151;3628;1;1;0;0;0;0;0;0
152;3645;1;1;11;3;3;14;4;1
153;3645;2;1;1;0;0;1;1;1
154;3645;1;0;0;0;0;0;0;0
155;3645;2;0;0;0;0;0;0;0
156;3617;1;1;20;0;0;20;4;0
157;3617;2;1;25;0;0;25;3;0
158;3617;1;0;0;0;0;0;1;0
159;3617;2;0;0;0;0;0;1;0
160;3648;1;1;6;0;0;6;1;0
161;3663;1;1;22;2;2;24;4;2
162;3663;2;1;0;0;0;0;2;0
163;3663;1;0;2;1;1;3;2;4
164;3663;2;0;2;1;1;3;1;0
165;3666;1;1;2;2;1;4;2;4
166;3666;2;1;7;5;2;12;6;4
167;3666;1;0;0;0;0;0;1;4
168;3666;2;0;0;0;0;0;1;4
169;3670;1;1;79;2;2;81;3;4
170;3670;2;1;17;0;0;17;1;0
171;3675;1;1;1;0;0;1;1;0
172;3675;2;1;1;0;0;1;1;0
173;3675;1;0;0;0;0;0;1;0
174;3675;2;0;0;0;0;0;1;0
175;3676;1;1;5;46;6;51;2;4
176;3670;1;0;0;0;0;0;1;4
177;3670;2;0;3;0;0;3;3;2
178;3678;1;1;0;0;0;0;1;4
179;3678;2;1;0;0;0;0;0;0
180;3678;1;0;0;0;0;0;1;4
181;3678;2;0;0;0;0;0;0;0
182;3668;1;1;14;0;0;14;2;0
183;3668;2;1;0;0;0;0;0;0
184;3668;1;0;0;0;0;0;0;0
185;3668;2;0;0;0;0;0;0;0
186;3689;1;1;17;1;2;18;2;1
187;3700;1;1;69;6;2;75;4;4
188;3702;1;1;40;1;1;41;6;4
189;3700;2;1;52;1;1;53;2;1
190;3700;1;0;0;0;0;0;1;4
191;3700;2;0;14;0;0;14;3;2
192;3702;1;0;0;0;0;0;1;4
193;3559;1;1;37;32;10;69;4;2
194;3559;2;1;0;0;0;0;0;0
195;3559;1;0;0;0;0;0;1;2
196;3559;2;0;0;0;0;0;0;0
197;3728;1;1;61;0;0;61;1;2
198;3728;2;1;0;0;0;0;0;0
199;3733;1;1;31;2;7;33;4;4
200;3733;2;1;11;0;0;11;3;0
201;3733;1;0;0;0;0;0;1;4
202;3733;2;0;0;0;0;0;1;0
203;3738;1;1;111;12;15;123;6;4
204;3738;2;1;0;0;0;0;0;0
205;3738;1;0;0;0;0;0;1;4
206;3738;2;0;254;34;54;288;8;1
207;3728;1;0;200;8;73;208;4;4
208;3728;2;0;0;0;0;0;0;0
209;3749;1;1;11;0;0;11;3;4
210;3749;2;1;2;0;0;2;2;2
211;3749;1;0;0;0;0;0;1;4
212;3749;2;0;0;0;0;0;1;2
213;3751;1;1;19;2;2;21;6;0
214;3751;2;1;0;0;0;0;0;0
215;3751;1;0;0;0;0;0;0;0
216;3751;2;0;0;0;0;0;0;0
217;3756;1;1;93;1;1;94;8;4
218;3756;2;1;0;0;0;0;0;0
219;3756;1;0;0;0;0;0;1;4
220;3756;2;0;37;0;0;37;3;1
221;3770;1;1;0;0;0;0;4;0
222;3772;1;1;22;5;6;27;3;0
223;3772;2;1;51;10;20;61;2;1
224;3773;1;1;79;0;0;79;4;2
225;3773;2;1;21;0;0;21;1;0
226;3773;1;0;56;0;0;56;3;4
227;3773;2;0;7;24;3;31;4;3
228;3790;1;1;118;9;14;127;4;2
229;3790;2;1;32;0;0;32;1;1
230;3801;1;1;19;3;6;22;4;0
231;3806;1;1;31;0;0;31;2;4
232;3806;2;1;0;0;0;0;0;0
233;3811;1;1;13;10;15;23;2;1
234;3811;2;1;13;5;8;18;1;0
235;3812;1;1;103;14;14;117;4;1
236;3813;1;1;8;0;0;8;1;0
237;3815;1;1;1;0;0;1;1;4
238;3813;2;1;21;0;0;21;1;0
239;3812;2;1;0;0;0;0;0;0
240;3815;2;1;0;0;0;0;0;2
241;3816;1;1;63;0;0;63;5;1
242;3822;1;1;10;0;0;10;2;0
243;3822;2;1;0;0;0;0;0;0
244;3826;1;1;56;0;0;56;6;1
245;3843;1;1;43;15;15;58;6;3
246;3847;1;1;37;0;0;37;5;1
247;3853;1;1;8;2;2;10;1;0
248;3857;1;1;41;10;13;51;4;1
249;3858;1;1;12;1;1;13;3;0
250;3859;1;1;21;4;6;25;4;1
251;3859;2;1;0;0;0;0;0;0
252;3858;2;1;0;0;0;0;0;0
253;3858;1;0;0;0;0;0;1;0
254;3858;2;0;43;1;2;44;3;0
255;3863;1;1;50;1;1;51;2;1
256;3863;2;1;1;0;0;1;1;2
257;3864;1;1;84;11;22;95;5;1
258;3864;2;1;0;0;0;0;0;0
259;3864;1;0;0;0;0;0;1;1
260;3864;2;0;0;0;0;0;0;0
261;3870;1;1;8;0;0;8;1;0
262;3870;2;1;0;0;0;0;0;1
263;3870;1;0;0;0;0;0;0;0
264;3870;2;0;0;0;0;0;0;0
265;3888;1;1;73;2;3;75;3;1
266;3896;1;1;2;0;0;2;2;4
267;3903;1;1;1;0;0;1;1;4
268;3903;2;1;1;0;0;1;1;0
269;3903;1;0;0;0;0;0;1;4
270;3903;2;0;2;0;0;2;3;1
271;3906;1;1;7;0;0;7;1;0
272;3790;1;0;32;0;0;32;3;2
273;3790;2;0;122;22;14;144;7;4
274;3933;1;1;34;2;2;36;7;0
275;3933;2;1;1;0;0;1;1;0
276;3933;1;0;0;0;0;0;0;0
277;3933;2;0;0;0;0;0;1;0
278;3937;1;1;25;0;0;25;5;4
279;3937;2;1;21;0;0;21;1;0
280;3937;1;0;0;0;0;0;1;4
281;3937;2;0;39;2;4;41;4;4
282;3970;1;1;0;0;0;0;0;0
283;3970;2;1;0;0;0;0;0;0
284;3967;1;1;101;13;13;114;6;1
285;3973;1;1;144;11;16;155;11;3
286;3980;1;1;23;0;0;23;2;4
287;3980;2;1;0;0;0;0;0;0
288;4007;1;1;23;2;1;25;4;1
289;4013;1;1;1;0;0;1;1;4
290;4019;1;1;38;0;0;38;9;0
291;4019;2;1;0;0;0;0;0;0
292;4013;2;1;0;0;0;0;0;0
293;4035;1;1;32;0;0;32;1;4
294;4035;2;1;0;0;0;0;0;0
295;4039;1;1;53;0;0;53;6;4
296;4039;2;1;3;0;0;3;3;1
297;4045;1;1;49;0;0;49;1;4
298;4039;1;0;0;0;0;0;1;4
299;4039;2;0;2;0;0;2;3;2
300;4049;1;1;5;2;1;7;6;2
301;4049;2;1;0;0;0;0;0;0
302;4049;1;0;0;0;0;0;1;1
303;4049;2;0;0;0;0;0;0;0
304;4119;1;1;14;7;5;21;8;4
305;4119;2;1;1;0;0;1;1;4
306;4133;1;1;43;10;13;53;3;1
307;4140;1;1;8;0;0;8;1;0
308;4140;2;1;2;0;0;2;1;0
309;4160;1;1;8;0;0;8;1;0
310;4160;2;1;0;0;0;0;1;0
311;4160;1;0;0;0;0;0;0;0
312;4160;2;0;0;0;0;0;1;0
313;4165;1;1;29;2;0;31;4;2
314;4180;1;1;117;24;49;141;5;4
315;4180;2;1;0;0;0;0;0;0
316;4186;1;1;2;0;0;2;2;4
317;4185;1;1;71;14;34;85;3;1
318;4186;2;1;1;0;0;1;1;2
319;4186;1;0;0;0;0;0;1;4
320;4186;2;0;0;0;0;0;1;2
321;4188;1;1;9;0;0;9;1;4
322;4189;1;1;100;5;7;105;4;4
323;4189;2;1;26;0;0;26;2;1
324;4188;2;1;0;0;0;0;0;0
325;4188;1;0;0;0;0;0;1;4
326;4188;2;0;0;0;0;0;0;0
327;4189;1;0;0;0;0;0;1;4
328;4189;2;0;48;0;0;48;6;4
329;4217;1;1;10;0;0;10;3;0
330;4217;2;1;0;0;0;0;0;0
331;4222;1;1;21;0;0;21;3;4
332;4222;2;1;0;0;0;0;0;0
333;4228;1;1;11;8;11;19;2;0
334;4228;2;1;0;0;0;0;0;0
335;4228;1;0;7;0;0;7;1;0
336;4228;2;0;0;0;0;0;0;0
337;4236;1;1;0;0;0;0;2;0
338;4236;2;1;24;7;12;31;1;0
339;4248;1;1;18;0;0;18;6;0
340;4249;1;1;73;3;3;76;5;1
341;4253;1;1;3;0;0;3;1;0
342;4253;2;1;0;0;0;0;0;0
343;4253;1;0;0;0;0;0;0;0
344;4253;2;0;0;0;0;0;0;0
345;4217;1;0;0;0;0;0;1;0
346;4217;2;0;0;0;0;0;0;0
347;4265;1;1;17;0;0;17;1;4
348;4265;2;1;0;0;0;0;0;0
349;4274;1;1;0;0;0;0;2;0
350;4290;1;1;48;0;0;48;3;4
351;4290;2;1;4;0;0;4;3;4
352;4290;1;0;0;0;0;0;1;4
353;4290;2;0;0;0;0;0;1;4
354;4302;1;1;12;1;1;13;1;0
355;4302;2;1;0;0;0;0;0;0
356;4302;1;0;0;0;0;0;0;0
357;4302;2;0;0;0;0;0;0;0
358;4356;1;1;31;0;0;31;2;2
359;4356;2;1;11;0;0;11;3;0
360;4362;1;1;0;0;0;0;0;0
361;4362;2;1;0;0;0;0;1;1
362;4362;1;0;0;0;0;0;0;0
363;4362;2;0;0;0;0;0;2;2
364;4364;1;1;0;0;0;0;0;0
365;4364;2;1;0;0;0;0;0;2
366;4364;1;0;0;0;0;0;0;0
367;4364;2;0;0;0;0;0;0;0
368;4370;1;1;94;68;99;162;4;1
369;4370;2;1;68;1;1;69;3;0
370;4370;1;0;0;0;0;0;0;0
371;4370;2;0;72;0;0;72;8;0
372;4315;1;1;13;2;2;15;3;0
373;4315;2;1;1;0;0;1;1;0
374;4292;1;1;0;0;0;0;0;0
375;4403;1;1;8;0;0;8;1;0
376;4403;2;1;0;0;0;0;1;0
377;4407;1;1;21;10;18;31;2;0
378;4407;2;1;93;0;0;93;4;1
379;4416;1;1;21;0;0;21;2;4
380;4416;2;1;0;0;0;0;0;0
381;4427;1;1;30;1;1;31;3;1
382;4427;2;1;1;0;0;1;3;0
383;4315;1;0;0;0;0;0;0;0
384;4315;2;0;0;0;0;0;0;0
385;4436;1;1;69;5;7;74;4;4
386;4436;2;1;0;0;0;0;0;0
387;4403;1;0;180;37;72;217;10;4
388;4403;2;0;0;0;0;0;1;0
389;4407;1;0;58;4;7;62;7;4
390;4407;2;0;0;0;0;0;1;1
391;4442;1;1;0;0;0;0;0;0
392;4427;1;0;2;0;0;2;1;1
393;4427;2;0;2;0;0;2;2;1
394;4458;1;1;71;0;0;71;5;4
395;4458;2;1;2;0;0;2;2;1
396;4458;1;0;0;0;0;0;1;4
397;4458;2;0;3;0;0;3;4;3
398;4480;1;1;34;3;0;37;3;4
399;4480;2;1;2;0;0;2;4;2
400;4480;1;0;0;0;0;0;1;4
401;4480;2;0;0;0;0;0;1;2
402;4506;1;1;75;4;8;79;3;4
403;4506;2;1;1;0;0;1;2;0
404;4506;1;0;0;0;0;0;1;4
405;4506;2;0;13;0;0;13;2;0
406;4540;1;1;88;2;19;90;6;4
407;4540;2;1;13;2;2;15;1;0
408;4540;1;0;0;0;0;0;1;4
409;4540;2;0;34;1;2;35;5;2
410;4546;1;1;72;0;0;72;2;4
411;4546;2;1;0;0;0;0;0;0
412;4546;1;0;0;0;0;0;1;4
413;4546;2;0;0;0;0;0;0;0
414;4548;1;1;24;3;2;27;4;1
415;4548;2;1;1;0;0;1;1;0
416;4550;1;1;21;3;4;24;2;1
417;4548;1;0;0;0;0;0;1;1
418;4548;2;0;0;0;0;0;1;0
419;4560;1;1;30;0;0;30;2;4
420;4560;2;1;22;0;0;22;3;2
421;4560;1;0;0;0;0;0;1;4
422;4560;2;0;12;0;0;12;2;4
423;4562;1;1;7;0;0;7;1;4
424;4562;2;1;11;0;0;11;1;4
425;4562;1;0;0;0;0;0;1;4
426;4562;2;0;0;0;0;0;1;4
427;4565;1;1;8;2;2;10;1;0
428;4565;2;1;0;0;0;0;0;0
429;4565;1;0;0;0;0;0;1;0
430;4565;2;0;0;0;0;0;0;0
431;4291;1;1;8;2;2;10;1;0
432;4236;1;0;5;7;4;12;3;1
433;4236;2;0;0;0;0;0;0;0
434;4587;1;1;86;3;12;89;2;1
435;4587;2;1;0;0;0;0;0;0
436;4598;1;1;8;0;0;8;1;0
437;4598;2;1;21;0;0;21;1;0
438;4608;1;1;50;2;2;52;4;1
439;4608;2;1;21;0;0;21;1;0
440;4608;1;0;0;0;0;0;0;0
441;4608;2;0;0;0;0;0;0;0
442;4623;1;1;0;0;0;0;0;0
443;4627;1;1;3;1;1;4;1;0
444;4628;1;1;105;13;22;118;4;2
445;4628;2;1;0;0;0;0;0;0
446;4647;1;1;9;8;9;17;1;0
447;4647;2;1;1;0;0;1;1;0
448;4649;1;1;0;0;0;0;7;0
449;4649;2;1;0;0;0;0;0;0
450;4659;1;1;4;1;0;5;4;4
451;4659;2;1;1;0;0;1;1;2
452;4659;1;0;0;0;0;0;1;4
453;4659;2;0;0;0;0;0;0;0
454;4673;1;1;14;1;7;15;1;0
455;4669;1;1;28;0;0;28;2;1
456;4669;2;1;0;0;0;0;1;0
457;4669;1;0;0;0;0;0;0;0
458;4669;2;0;0;0;0;0;0;0
459;4684;1;1;102;0;0;102;7;4
460;4684;2;1;33;0;0;33;2;0
461;4684;1;0;0;0;0;0;1;4
462;4684;2;0;30;2;0;32;3;2
463;4689;1;1;13;3;0;16;7;1
464;4689;2;1;6;4;0;10;6;1
465;4689;1;0;0;0;0;0;1;1
466;4689;2;0;0;0;0;0;1;0
467;4709;1;1;59;2;3;61;4;1
468;4709;2;1;2;0;0;2;2;0
469;4709;1;0;0;0;0;0;1;1
470;4709;2;0;15;0;0;15;8;0
471;4715;1;1;161;1;26;162;4;4
472;4715;2;1;43;0;0;43;2;2
473;4715;1;0;0;0;0;0;1;4
474;4715;2;0;0;0;0;0;1;2
475;4729;1;1;26;2;2;28;6;0
476;4732;1;1;14;8;8;22;1;1
477;4754;1;1;36;2;5;38;3;1
478;4755;1;1;66;14;22;80;5;1
479;4695;1;1;21;11;24;32;1;0
480;4695;2;1;0;0;0;0;0;0
481;4695;1;0;0;0;0;0;1;0
482;4695;2;0;0;0;0;0;0;0
483;4807;1;1;1;0;0;1;5;0
484;4807;2;1;23;1;2;24;2;1
485;4807;1;0;0;0;0;0;0;0
486;4807;2;0;0;0;0;0;0;0
487;4741;1;1;6;1;1;7;7;4
488;4741;2;1;2;0;0;2;2;2
489;4741;1;0;0;0;0;0;1;4
490;4741;2;0;21;1;1;22;3;4
491;4847;1;1;19;1;1;20;3;0
492;4844;1;1;16;0;0;16;3;1
493;4844;2;1;0;0;0;0;0;0
494;4850;1;1;15;2;2;17;3;1
495;4850;2;1;7;0;0;7;1;0
496;4855;1;1;82;0;0;82;3;1
497;4855;2;1;0;0;0;0;0;0
498;4855;1;0;0;0;0;0;1;1
499;4855;2;0;0;0;0;0;0;0
500;4860;1;1;1;0;0;1;1;4
501;4860;2;1;1;0;0;1;1;4
502;4860;1;0;0;0;0;0;1;4
503;4860;2;0;0;0;0;0;1;4
504;4874;1;1;4;2;1;6;3;1
505;4874;2;1;0;0;0;0;0;0
506;4897;1;1;47;0;0;47;3;4
507;4897;2;1;1;0;0;1;2;4
508;4897;1;0;0;0;0;0;1;4
509;4897;2;0;0;0;0;0;1;4
510;4909;1;1;22;0;0;22;3;0
